,rest_names,rest_urls,rest_ratings,price for two,rest_crusine
47,Rizvi,https://www.zomato.com/visakhapatnam/rizvi-dwaraka-nagar-vizag/order,4.1,₹150 for one,"Biryani, South Indian"
48,Cake Shop,https://www.zomato.com/visakhapatnam/cake-shop-maddilapalem-vizag/order,3.6,₹150 for one,"Chinese, Bakery, Fast Food, Sichuan"
49,McDonald's,https://www.zomato.com/visakhapatnam/mcdonalds-7-maddilapalem-vizag/order,4.2,₹150 for one,"Burger, Fast Food"
50,Reboot Dine In,https://www.zomato.com/visakhapatnam/reboot-dine-in-sagar-nagar-vizag/order,4.0,₹150 for one,"Biryani, North Indian, Chinese, Andhra, Sichuan"
51,Red Velvet,https://www.zomato.com/visakhapatnam/red-velvet-1-mvp-colony-vizag/order,4.3,₹150 for one,"Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages, Desserts"
52,Haribabu Food Plaza,https://www.zomato.com/visakhapatnam/haribabu-food-plaza-maddilapalem-vizag/order,3.5,₹150 for one,"Biryani, Chinese, South Indian, Sichuan"
53,Tollywood Food Court,https://www.zomato.com/visakhapatnam/tollywood-food-court-dwaraka-nagar-vizag/order,3.8,₹150 for one,"Chinese, Biryani, Rolls, Sichuan"
54,LUQ Food Plaza,https://www.zomato.com/visakhapatnam/luq-food-plaza-dondaparithy-vizag/order,3.6,₹150 for one,"Seafood, Fast Food"
55,Chutnees,https://www.zomato.com/visakhapatnam/chutnees-dondaparithy-vizag/order,4.3,₹150 for one,"South Indian, North Indian, Andhra"
56,Tandoori Treats,https://www.zomato.com/visakhapatnam/tandoori-treats-1-siripuram-vizag/order,3.5,₹150 for one,"North Indian, Biryani, Chinese, Sichuan"
57,AK's Taste Well Fast Foods,https://www.zomato.com/visakhapatnam/aks-taste-well-fast-foods-dwaraka-nagar-vizag/order,4.1,₹300 for one,"Chinese, North Indian, Sichuan"
58,Food Pot,https://www.zomato.com/visakhapatnam/food-pot-allipuram-vizag/order,3.7,₹300 for one,"North Indian, Seafood, Chinese, Biryani"
59,Teenage Point,https://www.zomato.com/visakhapatnam/teenage-point-mvp-colony-vizag/order,3.9,₹300 for one,"Chinese, North Indian, Biryani"
60,Kalyani Mess,https://www.zomato.com/visakhapatnam/kalyani-mess-mvp-colony-vizag/order,4.0,₹300 for one,"Biryani, Chinese, South Indian, North Indian, Mughlai, Sichuan"
61,Laddu Gopal,https://www.zomato.com/visakhapatnam/laddu-gopal-1-waltair-uplands-vizag/order,4.3,₹300 for one,"Mithai, Street Food, Bakery"
62,Ganesh Parlour,https://www.zomato.com/visakhapatnam/ganesh-parlour-allipuram-vizag/order,4.1,₹300 for one,"South Indian, Chinese, North Indian"
63,Subway,https://www.zomato.com/visakhapatnam/subway-mvp-colony-vizag/order,4.1,₹300 for one,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps"
64,Swagrama Food Court,https://www.zomato.com/visakhapatnam/swagrama-food-court-madhavadhara-vizag/order,4.1,₹300 for one,"North Indian, Biryani, Chinese, Sichuan, Andhra"
65,Home Food Co.,https://www.zomato.com/visakhapatnam/home-food-co-1-mvp-colony-vizag/order,4.0,₹300 for one,Fast Food
66,Swap,https://www.zomato.com/visakhapatnam/swap-lawsons-bay-vizag/order,4.2,₹300 for one,Healthy Food
67,Naidu Gari Kunda Biryani,https://www.zomato.com/visakhapatnam/naidu-gari-kunda-biryani-mvp-colony-vizag/order,3.5,₹300 for one,"Chinese, South Indian, Kebab, North Indian, Biryani, Mughlai"
68,Raju's Kitchen,https://www.zomato.com/visakhapatnam/rajus-kitchen-seethammadhara-vizag/order,4.1,₹300 for one,"Biryani, Chinese, North Indian, Fast Food, South Indian"
69,Refresh Fast Food & Bakery,https://www.zomato.com/visakhapatnam/refresh-fast-food-bakery-dwaraka-nagar-vizag/order,3.1,₹100 for one,"Bakery, Desserts, Chinese, Fast Food, Shake, Sichuan"
70,Barbeque Nation,https://www.zomato.com/visakhapatnam/barbeque-nation-siripuram-vizag/order,3.6,₹100 for one,"North Indian, Biryani, Kebab, Beverages, Desserts"
71,Cream Stone Ice Cream,https://www.zomato.com/visakhapatnam/cream-stone-ice-cream-siripuram-vizag/order,4.1,₹100 for one,"Ice Cream, Shake"
72,Sri Sai Manikanta Cake World,https://www.zomato.com/visakhapatnam/sri-sai-manikanta-cake-world-asilmetta-vizag/order,3.2,₹100 for one,"Bakery, Chinese, Fast Food, Shake, Sichuan"
73,Lucky Tiffins,https://www.zomato.com/visakhapatnam/lucky-tiffins-mvp-colony-vizag/order,4.2,₹100 for one,South Indian
74,The Red Box,https://www.zomato.com/visakhapatnam/the-red-box-mvp-colony-vizag/order,3.7,₹100 for one,"Chinese, Momos, Thai, Asian, Sichuan"
75,The Arabian Restaurant,https://www.zomato.com/visakhapatnam/the-arabian-restaurant-marripalem-vizag/order,3.5,₹100 for one,"Arabian, North Indian, Chinese, Biryani"
76,Behrouz Biryani,https://www.zomato.com/visakhapatnam/behrouz-biryani-dwaraka-nagar-vizag/order,3.8,₹100 for one,"Biryani, Kebab, Hyderabadi, Lucknowi"
77,Ravi's Kitchen Non-Veg Restaurant,https://www.zomato.com/visakhapatnam/ravis-kitchen-non-veg-restaurant-lawsons-bay-vizag/order,3.8,₹100 for one,"North Indian, Biryani, Continental, Seafood, Chinese, Shake, Sichuan"
78,The Arabian Kitchen,https://www.zomato.com/visakhapatnam/the-arabian-kitchen-kancharapalem-vizag/order,3.3,₹100 for one,"Biryani, Mandi, Chinese, North Indian, Mughlai"
79,CakesDen,https://www.zomato.com/visakhapatnam/cakesden-dwaraka-nagar-vizag/order,4.2,₹100 for one,Bakery
80,Somaa Restobar,https://www.zomato.com/visakhapatnam/somaa-restobar-4-asilmetta-vizag/order,4.1,₹100 for one,"Biryani, Andhra, Chinese, Continental, Hyderabadi, Beverages, North Indian, Kebab"
81,Creme Shakes,https://www.zomato.com/visakhapatnam/creme-shakes-balayya-sastri-layout-vizag/order,4.0,₹200 for one,"Shake, Desserts, Beverages"
82,New Kalyani Mess,https://www.zomato.com/visakhapatnam/new-kalyani-mess-dwaraka-nagar-vizag/order,4.3,₹200 for one,"Chinese, South Indian, North Indian"
83,Yasoddha Food Express,https://www.zomato.com/visakhapatnam/yasoddha-food-express-mvp-colony-vizag/order,3.7,₹200 for one,"Biryani, Andhra, Chinese, Rolls, Sichuan"
84,Food Ex,https://www.zomato.com/visakhapatnam/food-ex-siripuram-vizag/order,4.1,₹200 for one,"Burger, Fast Food, Pizza"
85,Gatox Natural Ice Cream,https://www.zomato.com/visakhapatnam/gatox-natural-ice-cream-ram-nagar-vizag/order,4.5,₹200 for one,"Ice Cream, Beverages, Shake"
86,Sri Sai Chinese Restaurant,https://www.zomato.com/visakhapatnam/sri-sai-chinese-restaurant-seethammadhara-vizag/order,3.3,₹200 for one,"Biryani, Chinese, Fast Food, Sichuan"
87,Lassi Shop,https://www.zomato.com/visakhapatnam/lassi-shop-maharani-peta-vizag/order,4.0,₹200 for one,"Beverages, Desserts, Ice Cream"
88,Dayaram Sweets,https://www.zomato.com/visakhapatnam/dayaram-sweets-maddilapalem-vizag/order,4.3,₹200 for one,Mithai
89,Snow Dunes,https://www.zomato.com/visakhapatnam/snow-dunes-dwaraka-nagar-vizag/order,4.1,₹200 for one,"Bakery, Pizza, Fast Food, Chinese, Sandwich, Burger, Ice Cream, Beverages"
90,Hotel Maa Nethi Vindu,https://www.zomato.com/visakhapatnam/hotel-maa-nethi-vindu-ram-nagar-vizag/order,4.1,₹200 for one,"South Indian, North Indian, Biryani, Beverages"
91,Southern Foods,https://www.zomato.com/visakhapatnam/southern-foods-maddilapalem-vizag/order,3.8,₹200 for one,"Chinese, Seafood, Biryani, North Indian, Kebab, Mughlai, Desserts"
92,The Shawarma Co.,https://www.zomato.com/visakhapatnam/the-shawarma-co-mvp-colony-vizag/order,3.9,₹200 for one,"Lebanese, Fast Food"
93,Kanhaji Family Restaurant,https://www.zomato.com/visakhapatnam/kanhaji-family-restaurant-allipuram-vizag/order,4.2,₹150 for one,"Chinese, North Indian, Rajasthani"
94,Red Pepper Family Restaurant,https://www.zomato.com/visakhapatnam/red-pepper-family-restaurant-balayya-sastri-layout-vizag/order,3.8,₹150 for one,"North Indian, Biryani, Chinese, Mughlai"
95,Hyderabad Chorasta Biryani,https://www.zomato.com/visakhapatnam/hyderabad-chorasta-biryani-dwaraka-nagar-vizag/order,3.5,₹150 for one,"Biryani, Chinese, North Indian"
96,7th Heaven,https://www.zomato.com/visakhapatnam/7th-heaven-dwaraka-nagar-vizag/order,4.2,₹150 for one,"Bakery, Desserts, Ice Cream, Beverages, Shake"
97,Sisara Dine In,https://www.zomato.com/visakhapatnam/sisara-dine-in-balayya-sastri-layout-vizag/order,3.9,₹150 for one,"Biryani, Chinese, South Indian, Sichuan"
98,Royal Berry And Royal Cream Shakes,https://www.zomato.com/visakhapatnam/royal-berry-and-royal-cream-shakes-sagar-nagar-vizag/order,3.9,₹150 for one,"Ice Cream, Beverages, Desserts, Shake"
99,Cafe Military,https://www.zomato.com/visakhapatnam/cafe-military-venkojipalem-vizag/order,4.1,₹150 for one,"South Indian, Biryani, North Indian, Chinese"
100,Grill Citi,https://www.zomato.com/visakhapatnam/grill-citi-lawsons-bay-vizag/order,4.3,₹150 for one,"Shawarma, Kebab, North Indian"
101,Hunger Wheelz,https://www.zomato.com/visakhapatnam/hunger-wheelz-1-seethammadhara-vizag/order,4.3,₹150 for one,South Indian
102,Masaledaar Desi Rasoi,https://www.zomato.com/visakhapatnam/masaledaar-desi-rasoi-dwaraka-nagar-vizag/order,4.1,₹150 for one,"North Indian, Chinese, Desserts, Beverages"
103,Ak Coastal Kitchen,https://www.zomato.com/visakhapatnam/ak-coastal-kitchen-sagar-nagar-vizag/order,3.8,₹150 for one,"Chinese, Biryani, North Indian, South Indian, Beverages, Sichuan"
104,Bakers Hub,https://www.zomato.com/visakhapatnam/bakers-hub-asilmetta-vizag/order,4.3,₹150 for one,"Bakery, Sandwich, Fast Food, Desserts, Shake"
105,Biryani Ka Badshah,https://www.zomato.com/visakhapatnam/biryani-ka-badshah-maddilapalem-vizag/order,3.5,₹300 for one,"Biryani, North Indian, Chinese, Sichuan"
106,The Desi Village - Donne Biryani,https://www.zomato.com/visakhapatnam/the-desi-village-donne-biryani-vishalaksmi-nagar-vizag/order,4.0,₹300 for one,"Biryani, Chinese, South Indian"
107,Sardaar-E-Khaas,https://www.zomato.com/visakhapatnam/sardaar-e-khaas-lawsons-bay-vizag/order,3.7,₹300 for one,"North Indian, Chinese, Biryani, Mughlai"
108,The Dessert Heaven - Pure Veg,https://www.zomato.com/visakhapatnam/the-dessert-heaven-pure-veg-dwaraka-nagar-vizag/order,4.0,₹300 for one,"Waffle, Desserts"
109,Million Cafe,https://www.zomato.com/visakhapatnam/million-cafe-1-sagar-nagar-vizag/order,4.3,₹300 for one,"Chinese, North Indian"
110,Sri Siva Sai Good Foods,https://www.zomato.com/visakhapatnam/sri-siva-sai-good-foods-ram-nagar-vizag/order,4.4,₹300 for one,"South Indian, Beverages"
111,Inavars,https://www.zomato.com/visakhapatnam/inavars-maddilapalem-vizag/order,4.3,₹300 for one,"Biryani, North Indian"
112,Visakha Dosa Point,https://www.zomato.com/visakhapatnam/visakha-dosa-point-ram-nagar-vizag/order,3.9,₹300 for one,South Indian
113,Hyderabadi Bawarchi,https://www.zomato.com/visakhapatnam/hyderabadi-bawarchi-siripuram-vizag/order,4.1,₹300 for one,"Biryani, North Indian, Chinese"
